frame,timestamp_sec,scene_name,group_id,video_name,track_id,class_name,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,cx,cy,frame_width,frame_height,crossed_line,direction,speed_px_s
15,3.893,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.741,1638,585,1749,762,1694,762,1280,720,true,down,12.4
15,3.893,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.69,744,667,865,773,805,773,1280,720,true,down,8.7
15,3.893,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.625,1188,649,1331,778,1260,778,1280,720,true,down,12.4
15,3.893,Dakar - Scène 1,group_01,traffic.mp4,9,car,0.61,912,659,1009,770,960,770,1280,720,true,down,0.0
15,3.893,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.563,1861,602,1919,898,1890,898,1280,720,true,down,8.7
16,4.143,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.925,1339,405,1620,806,1480,806,1280,720,true,down,5.7
16,4.143,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.87,924,671,1152,821,1038,821,1280,720,true,down,17.9
16,4.143,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.836,1736,586,1843,870,1790,870,1280,720,true,down,5.7
16,4.143,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.814,2,451,667,1069,335,1069,1280,720,true,down,48.0
16,4.143,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.767,1642,588,1754,761,1698,761,1280,720,true,down,16.5
16,4.143,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.735,746,670,869,774,807,774,1280,720,true,down,8.9
16,4.143,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.65,1189,651,1330,779,1260,779,1280,720,true,down,4.0
16,4.143,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.639,1854,600,1919,851,1887,850,1280,720,true,down,192.4
16,4.143,Dakar - Scène 1,group_01,traffic.mp4,9,car,0.344,920,655,1022,756,971,756,1280,720,true,down,71.2
17,4.404,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.919,1338,405,1623,808,1480,808,1280,720,true,down,7.7
17,4.404,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.859,1740,587,1849,874,1794,874,1280,720,true,down,21.7
17,4.404,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.835,919,672,1152,825,1035,825,1280,720,true,down,19.2
17,4.404,Dakar - Scène 1,group_01,traffic.mp4,1,car,0.742,1,453,631,1066,316,1066,1280,720,true,down,73.7
17,4.404,Dakar - Scène 1,group_01,traffic.mp4,16,person,0.704,591,608,705,859,648,859,1280,720,true,down,0.0
17,4.404,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.686,1645,589,1760,765,1702,764,1280,720,true,down,19.2
17,4.404,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.68,746,672,876,777,811,777,1280,720,true,down,19.2
17,4.404,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.677,1190,653,1331,782,1261,782,1280,720,true,down,12.1
17,4.404,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.445,1864,617,1919,854,1891,854,1280,720,true,down,21.7
18,4.642,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.923,1338,405,1624,811,1481,811,1280,720,true,down,13.3
18,4.642,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.841,1743,586,1856,875,1799,875,1280,720,true,down,21.4
18,4.642,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.801,917,674,1150,827,1033,827,1280,720,true,down,11.9
18,4.642,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.797,1646,591,1764,765,1705,765,1280,720,true,down,13.3
18,4.642,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.715,1181,655,1332,786,1256,786,1280,720,true,down,26.9
18,4.642,Dakar - Scène 1,group_01,traffic.mp4,1,truck,0.695,1,457,581,1070,291,1070,1280,720,true,down,106.4
18,4.642,Dakar - Scène 1,group_01,traffic.mp4,16,person,0.675,557,608,690,877,623,877,1280,720,true,down,129.4
18,4.642,Dakar - Scène 1,group_01,traffic.mp4,13,car,0.574,755,674,882,779,818,779,1280,720,true,down,30.6
18,4.642,Dakar - Scène 1,group_01,traffic.mp4,8,person,0.478,1862,612,1919,859,1890,859,1280,720,true,down,21.4
19,4.901,Dakar - Scène 1,group_01,traffic.mp4,2,bus,0.927,1336,406,1623,813,1479,813,1280,720,true,down,10.9
19,4.901,Dakar - Scène 1,group_01,traffic.mp4,3,car,0.858,910,675,1148,830,1029,830,1280,720,true,down,19.3
19,4.901,Dakar - Scène 1,group_01,traffic.mp4,6,person,0.846,1747,592,1861,877,1804,877,1280,720,true,down,20.8
19,4.901,Dakar - Scène 1,group_01,traffic.mp4,4,car,0.811,1180,657,1334,788,1257,788,1280,720,true,down,8.6
19,4.901,Dakar - Scène 1,group_01,traffic.mp4,7,bus,0.775,1648,593,1764,770,1706,770,1280,720,true,down,19.7
19,4.901,Dakar - Scène 1,group_01,traffic.mp4,16,person,0.674,519,609,676,872,598,872,1280,720,true,down,98.4
19,4.901,Dakar - Scène 1,group_01,traffic.mp4,1,truck,0.611,1,465,538,1069,269,1068,1280,720,true,down,85.3
